Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,USD_ID,UST_ID
1,,Battery_Cell-device,BT1 BT2,BX0037,BX0037,2, ,,,5c70984412875079b91f87ed
2,,Battery_Cell-device,BT3,Battery_Cell-device,CH28-2032,1, ,,,5c70984412875079b91f87ec
3,,C-device,C5 C8,15pF,SMD-0805,2, ,,,5c70984712875079b91f8b32
4,,C-device,C12,1nF,SMD-0805,1, ,,,5c70984712875079b91f8b45
5,,C-device,C1 C2 C3 C4 C6 C13 C15 C17 C18 C19 C20 C21 C22,100nF,SMD-0805,13, ,,,5c70984712875079b91f8b4c
6,,C-device,C7,1uF,SMD-0805,1, ,,,5c70984712875079b91f8b50
7,,C-device,C16,4u7,SMD-0805,1, ,,,5c70984712875079b91f8b52
8,,C-device,C11 C14,10uF,SMD-0805,2, ,,,5c70984812875079b91f8bbd
9,,CP-device,C9,47uF,TantalC_SizeC_Reflow,1, ,,,5c70984412875079b91f8867
10,,EMI_Filter_C-device,C10,EMI_Filter_C,FIR1,1, ,http://www.murata.com/~/media/webrenewal/support/library/catalog/products/emc/emifil/c31e.ashx?la=en-gb,,
11,,LED-device,D3,HLMP-K150+FIX-LED-313,FIX-LED-313,1, ,~,,5c70984712875079b91f8b67
12,,D-device,D2,M4,SMA_Standard,1, ,,,5c70984512875079b91f88ac
13,,Polyfuse-device,F1 F2,750mA,1812,2, ,,,5c70984512875079b91f88d2
14,,HEADER_2x01-MLAB_HEADER,J9 J11 J21 J32,HEADER_2x01,Straight_2x01,4, ,,,
15,,HEADER_2x01_PARALLEL-MLAB_HEADER,J1 J2 J3 J4 J5 J8 J12 J13 J14 J15 J16 J17 J18 J19 J20 J22 J23 J24 J25 J26 J27 J28 J29 J30,HEADER_2x01_PARALLEL,Straight_2x01,24, ,,,
16,,HEADER_2x03-MLAB_HEADER,J31,HEADER_2x03,Straight_2x03,1, ,,,
17,,HEADER_2x03_PARALLEL-MLAB_HEADER,J6 J10 J33,HEADER_2x03_PARALLEL,Straight_2x03,3, ,,,
18,,SD_Card-Connector,J7,MCC-SD,SD_TE_2041021,1, ,http://portal.fciconnect.com/Comergent//fci/drawing/10067847.pdf,,5c70984412875079b91f87f2
19,,SD_Card-Connector,J34,MCC-SD (kouka z modulu),MCC-SD,1, ,http://portal.fciconnect.com/Comergent//fci/drawing/10067847.pdf,,
20,,L-device,L1,10uH - LQH32CN100K23L,SMD-1210,1, ,,,5c70984412875079b91f87ff
21,,R-device,R12 R15,0R,SMD-0805,2, ,,,5c70984512875079b91f896b
22,,R-device,R1 R2 R3 R4,100,SMD-0805,4, ,,,5c70984512875079b91f8977
23,,R-device,R10,2k2,SMD-0805,1, ,,,5c70984612875079b91f8990
24,,R-device,R5,4k7,SMD-0805,1, ,,,5c70984612875079b91f8995
25,,R-device,R6 R7 R9,10k,SMD-0805,3, ,,,5c70984612875079b91f899f
26,,R-device,R8 R11 R16,-,SMD-0805,3, ,,,
27,Single Pole Single Throw (SPST) switch,SW_SPST,SW1,5MS1S102AM6QE,5MS1S102AM6QE,1, ,,,5c70984712875079b91f8b66
28,"I2C Serial EEPROM, 64Kb (8192x8) with Unique Serial Number, SO8",AT24CS64-SSHM,U6,AT24CS64-SSHM,SOIC-8_3.9x4.9mm_P1.27mm,1, ,http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-8870-SEEPROM-AT24CS64-Datasheet.pdf,,5c70984712875079b91f8b99
29,,ATMEGA1284P-AU-atmel,U3,ATMEGA1284P-AU,TQFP-44_10x10mm_P0.8mm,1, ,http://www.atmel.com/Images/Atmel-8272-8-bit-AVR-microcontroller-ATmega164A_PA-324A_PA-644A_PA-1284_P_datasheet.pdf,,5c70984412875079b91f888e
30,,ISL21070CIH320Z-TK-references,U1,ISL21080CIH320Z-TK,SOT-23,1, ,http://www.intersil.com/content/dam/Intersil/documents/fn75/fn7599.pdf,,5c70984712875079b91f8b79
31,,LM4041CIM3-1.2-MLAB_D,U5,LM4041CIM3-1.2(neosazovat),SOT-23,1, ,,,
32,,PCF85263A-MLAB_IO,U4,PCF85263A,TSSOP-10_3x3mm_Pitch0.5mm,1, ,,,5c70984612875079b91f8a0c
33,,TPS22965-Q1-MLAB_IO,U2,TPS22965-Q1,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,1, ,,,5c70984712875079b91f8b78
34,Two pin crystal,Crystal,Y1,16MHz,Crystal_HC49-U_Vertical,1, ,~,,5c70984712875079b91f8b10
35,,Crystal-device,Y2,ABS07-120-32.768KHZ-T,ABS07,1, ,,,5c70984712875079b91f8b1b





Project info:
Schematic:,DATALOGGER01A
Variant:,default
Revision:,
Date:,2022-08-14
KiCad Version:,6.0.4-6f826c9f35~116~ubuntu20.04.1
Statistics:
Component Groups:,35
Component Count:,87
Fitted Components:,87
Number of PCBs:,1
Total Components:,87
