Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","SMD-0805",29.2100,78.1050,90.0000,bottom
"C2","100nF","SMD-0805",31.7500,78.1050,90.0000,bottom
"C3","100nF","SMD-0805",34.2900,78.1050,90.0000,bottom
"C4","100nF","SMD-0805",36.8300,88.2650,0.0000,bottom
"C5","15pF","SMD-0805",77.4700,74.9300,-90.0000,bottom
"C6","100nF","SMD-0805",42.5450,78.7400,90.0000,bottom
"C7","1uF","SMD-0805",61.5950,37.1475,90.0000,bottom
"C8","15pF","SMD-0805",77.4700,71.1200,90.0000,bottom
"C9","47uF","TantalC_SizeC_Reflow",53.3400,20.3200,90.0000,bottom
"C11","10uF","SMD-0805",36.1950,43.1800,180.0000,bottom
"C12","1nF","SMD-0805",66.0400,37.4650,180.0000,bottom
"C13","100nF","SMD-0805",59.6900,22.8600,0.0000,bottom
"C14","10uF","SMD-0805",40.0050,82.5500,-90.0000,bottom
"C15","100nF","SMD-0805",36.1950,40.6400,180.0000,bottom
"C16","4u7","SMD-0805",71.1200,83.8200,-90.0000,bottom
"C17","100nF","SMD-0805",42.5450,82.5500,-90.0000,bottom
"C18","100nF","SMD-0805",64.7700,46.0375,-90.0000,bottom
"C19","100nF","SMD-0805",56.8325,90.1700,0.0000,bottom
"C20","100nF","SMD-0805",60.3250,73.0250,0.0000,bottom
"C21","100nF","SMD-0805",66.0400,82.2325,-90.0000,bottom
"C22","100nF","SMD-0805",60.3250,63.1825,90.0000,bottom
"D2","M4","SMA_Standard",61.5950,18.4150,-90.0000,bottom
"F1","750mA","1812",67.3100,16.5100,0.0000,bottom
"F2","750mA","1812",69.2150,28.5750,90.0000,bottom
"J7","MCC-SD","SD_TE_2041021",36.8300,25.4000,180.0000,bottom
"J34","MCC-SD (kouka z modulu)","MCC-SD",36.8300,13.9700,180.0000,bottom
"L1","10uH - LQH32CN100K23L","SMD-1210",38.7350,76.8350,0.0000,bottom
"R1","100","SMD-0805",29.8450,41.2750,90.0000,bottom
"R2","100","SMD-0805",32.3850,41.2750,90.0000,bottom
"R3","100","SMD-0805",40.0050,41.2750,90.0000,bottom
"R4","100","SMD-0805",45.0850,41.2750,90.0000,bottom
"R5","4k7","SMD-0805",32.7025,85.0900,-90.0000,bottom
"R6","10k","SMD-0805",69.2150,46.6725,90.0000,bottom
"R7","10k","SMD-0805",69.2150,50.4825,-90.0000,bottom
"R8","-","SMD-0805",68.5800,80.0100,-90.0000,bottom
"R9","10k","SMD-0805",68.5800,83.8200,-90.0000,bottom
"R10","2k2","SMD-0805",15.8750,10.7950,90.0000,bottom
"R11","-","SMD-0805",66.0400,60.3250,-90.0000,bottom
"R12","0R","SMD-0805",67.9450,60.3250,-90.0000,bottom
"R15","0R","SMD-0805",62.8650,62.5475,-90.0000,bottom
"R16","-","SMD-0805",62.5475,59.6900,180.0000,bottom
"U1","ISL21080CIH320Z-TK","SOT-23",36.5125,85.4075,0.0000,bottom
"U2","TPS22965-Q1","WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias",65.4050,34.9250,0.0000,bottom
"U3","ATMEGA1284P-AU","TQFP-44_10x10mm_P0.8mm",56.5150,81.9150,180.0000,bottom
"U4","PCF85263A","TSSOP-10_3x3mm_Pitch0.5mm",62.8650,50.1650,0.0000,bottom
"U5","LM4041CIM3-1.2(neosazovat)","SOT-23",29.2575,85.4075,180.0000,bottom
"U6","AT24CS64-SSHM","SOIC-8_3.9x4.9mm_P1.27mm",64.7700,55.8800,180.0000,bottom
