Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"BT1","BX0037","BX0037",36.1950,71.1200,180.0000,top
"BT2","BX0037","BX0037",36.1950,33.0200,180.0000,top
"BT3","Battery_Cell-device","CH28-2032",37.4650,53.3400,180.0000,bottom
"C1","100nF","SMD-0805",29.2100,78.1050,90.0000,bottom
"C2","100nF","SMD-0805",31.7500,78.1050,90.0000,bottom
"C3","100nF","SMD-0805",34.2900,78.1050,90.0000,bottom
"C4","100nF","SMD-0805",36.8300,88.2650,0.0000,bottom
"C5","100nF","SMD-0805",77.4700,74.9300,-90.0000,bottom
"C6","100nF","SMD-0805",42.5450,78.7400,90.0000,bottom
"C7","1uF","SMD-0805",61.5950,37.1475,90.0000,bottom
"C8","100nF","SMD-0805",77.4700,71.1200,90.0000,bottom
"C9","47uF","TantalC_SizeC_Reflow",53.3400,20.3200,90.0000,bottom
"C10","EMI_Filter_C","FIR1",57.1500,18.4150,90.0000,bottom
"C11","10uF","SMD-0805",36.1950,43.1800,180.0000,bottom
"C12","1nF","SMD-0805",66.0400,37.4650,180.0000,bottom
"C13","100nF","SMD-0805",59.6900,22.8600,0.0000,bottom
"C14","10uF","SMD-0805",40.0050,82.5500,-90.0000,bottom
"C15","100nF","SMD-0805",36.1950,40.6400,180.0000,bottom
"C16","4u7","SMD-0805",71.1200,83.8200,-90.0000,bottom
"C17","100nF","SMD-0805",42.5450,82.5500,-90.0000,bottom
"C18","100nF","SMD-0805",64.7700,46.0375,-90.0000,bottom
"C19","100nF","SMD-0805",56.8325,90.1700,0.0000,bottom
"C20","100nF","SMD-0805",60.3250,73.0250,0.0000,bottom
"C21","100nF","SMD-0805",66.0400,82.2325,-90.0000,bottom
"C22","100nF","SMD-0805",60.3250,63.1825,90.0000,bottom
"D2","M4","SMA_Standard",61.5950,18.4150,-90.0000,bottom
"D3","HLMP-K150+FIX-LED-313","FIX-LED-313",13.3350,5.0800,90.0000,top
"F1","750mA","1812",67.3100,16.5100,0.0000,bottom
"F2","750mA","1812",69.2150,28.5750,90.0000,bottom
"J1","HEADER_2x01_PARALLEL","Straight_2x01",74.9300,43.8150,180.0000,top
"J2","HEADER_2x01_PARALLEL","Straight_2x01",74.9300,51.4350,180.0000,top
