Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"BT1","BX0037","BX0037",36.1950,71.1200,180.0000,top
"BT2","BX0037","BX0037",36.1950,33.0200,180.0000,top
"D3","HLMP-K150+FIX-LED-313","FIX-LED-313",13.3350,5.0800,90.0000,top
"J1","HEADER_2x01_PARALLEL","Straight_2x01",74.9300,43.8150,180.0000,top
"J2","HEADER_2x01_PARALLEL","Straight_2x01",74.9300,51.4350,180.0000,top
"J3","HEADER_2x01_PARALLEL","Straight_2x01",74.9300,48.8950,180.0000,top
"J4","HEADER_2x01_PARALLEL","Straight_2x01",74.9300,46.3550,180.0000,top
"J5","HEADER_2x01_PARALLEL","Straight_2x01",74.9300,53.9750,180.0000,top
"J6","HEADER_2x03_PARALLEL","Straight_2x03",76.2000,22.8600,90.0000,top
"J8","HEADER_2x01_PARALLEL","Straight_2x01",74.9300,81.2800,180.0000,top
"J9","HEADER_2x01","Straight_2x01",40.0050,93.9800,90.0000,top
"J10","HEADER_2x03_PARALLEL","Straight_2x03",74.9300,31.7500,180.0000,top
"J11","HEADER_2x01","Straight_2x01",19.6850,7.6200,-90.0000,top
"J12","HEADER_2x01_PARALLEL","Straight_2x01",12.7000,93.9800,90.0000,top
"J13","HEADER_2x01_PARALLEL","Straight_2x01",15.2400,93.9800,90.0000,top
"J14","HEADER_2x01_PARALLEL","Straight_2x01",17.7800,93.9800,90.0000,top
"J15","HEADER_2x01_PARALLEL","Straight_2x01",20.3200,93.9800,90.0000,top
"J16","HEADER_2x01_PARALLEL","Straight_2x01",22.8600,93.9800,90.0000,top
"J17","HEADER_2x01_PARALLEL","Straight_2x01",74.9300,65.4050,0.0000,top
"J18","HEADER_2x01_PARALLEL","Straight_2x01",74.9300,62.8650,0.0000,top
"J19","HEADER_2x01_PARALLEL","Straight_2x01",74.9300,60.3250,0.0000,top
"J20","HEADER_2x01_PARALLEL","Straight_2x01",74.9300,57.7850,0.0000,top
"J21","HEADER_2x01","Straight_2x01",74.9300,37.4650,0.0000,top
"J22","HEADER_2x01_PARALLEL","Straight_2x01",47.6250,93.9800,90.0000,top
"J23","HEADER_2x01_PARALLEL","Straight_2x01",45.0850,93.9800,90.0000,top
"J24","HEADER_2x01_PARALLEL","Straight_2x01",50.1650,93.9800,90.0000,top
"J25","HEADER_2x01_PARALLEL","Straight_2x01",52.7050,93.9800,90.0000,top
"J26","HEADER_2x01_PARALLEL","Straight_2x01",55.2450,93.9800,90.0000,top
"J27","HEADER_2x01_PARALLEL","Straight_2x01",65.4050,93.9800,90.0000,top
"J28","HEADER_2x01_PARALLEL","Straight_2x01",67.9450,93.9800,90.0000,top
"J29","HEADER_2x01_PARALLEL","Straight_2x01",62.8650,93.9800,90.0000,top
"J30","HEADER_2x01_PARALLEL","Straight_2x01",74.9300,40.0050,0.0000,top
"J31","HEADER_2x03","Straight_2x03",74.9300,87.6300,180.0000,top
"J32","HEADER_2x01","Straight_2x01",76.2000,17.7800,90.0000,top
"J33","HEADER_2x03_PARALLEL","Straight_2x03",76.2000,12.7000,90.0000,top
"M2","HOLE","MountingHole_3mm",5.0800,5.0800,0.0000,top
"M3","HOLE","MountingHole_3mm",5.0800,86.3600,0.0000,top
"M4","HOLE","MountingHole_3mm",76.2000,96.2000,0.0000,top
"SW1","5MS1S102AM6QE","5MS1S102AM6QE",62.8650,2.2860,0.0000,top
"Y1","16MHz","Crystal_HC49-U_Vertical",74.9300,73.6600,-90.0000,top
